file_name,humor_style,emotion
p12_orig_neutral_or984,Neutral,anger
p35_orig_neutral_or1320,Neutral,anger
p13_orig_neutral_or1017,Neutral,anger
p12_orig_neutral_or1003,Neutral,anger
p27_orig_neutral_or591,Neutral,anger
p15_orig_neutral_or598,Neutral,anger
p18_orig_neutral_or1095,Neutral,anger
p25_orig_neutral_or514,Neutral,anger
p42_orig_neutral_or614,Neutral,anger
p04_orig_neutral_or1353,Neutral,anger
p02_orig_neutral_or1149,Neutral,anger
p23_orig_neutral_or1193,Neutral,anger
p23_orig_neutral_or1202,Neutral,anger
p42_orig_neutral_or111,Neutral,anger
p42_orig_neutral_or703,Neutral,anger
p44_orig_neutral_or170,Neutral,anger
p01_orig_neutral_or943,Neutral,anger
p07_orig_neutral_or1419,Neutral,anger
p18_orig_neutral_or1102,Neutral,anger
p22_orig_neutral_or1174,Neutral,anger
p14_orig_neutral_or1029,Neutral,empathy
p49_orig_neutral_or146,Neutral,empathy
p29_orig_neutral_or549,Neutral,empathy
p07_orig_neutral_or1407,Neutral,empathy
p27_orig_neutral_or36,Neutral,empathy
p47_orig_neutral_or523,Neutral,empathy
p07_orig_neutral_or1417,Neutral,empathy
p03_orig_neutral_or1245,Neutral,empathy
p09_orig_neutral_or1454,Neutral,empathy
p21_orig_neutral_or383,Neutral,empathy
p48_orig_neutral_or582,Neutral,empathy
p06_orig_neutral_or1403,Neutral,empathy
p31_orig_neutral_or147,Neutral,empathy
p25_orig_neutral_or432,Neutral,empathy
p30_orig_neutral_or87,Neutral,empathy
p40_orig_neutral_or849,Neutral,empathy
p16_orig_neutral_or168,Neutral,empathy
p18_orig_neutral_or1106,Neutral,empathy
p18_orig_neutral_or1090,Neutral,empathy
p47_orig_neutral_or902,Neutral,empathy
p09_orig_neutral_or1451,Neutral,empathy
p48_orig_neutral_or153,Neutral,empathy
p24_orig_neutral_or1217,Neutral,empathy
p15_orig_neutral_or1053,Neutral,empathy
p41_orig_neutral_or384,Neutral,superiority
p35_orig_neutral_or1323,Neutral,superiority
p35_orig_neutral_or1331,Neutral,superiority
p37_orig_neutral_or675,Neutral,superiority
p39_orig_neutral_or805,Neutral,superiority
p07_orig_neutral_or1413,Neutral,superiority
p36_orig_neutral_or487,Neutral,superiority
p07_orig_neutral_or588,Neutral,superiority
p46_orig_neutral_or835,Neutral,embarrassment
p42_orig_neutral_or578,Neutral,embarrassment
p08_orig_neutral_or1439,Neutral,embarrassment
p38_orig_neutral_or615,Neutral,embarrassment
p24_orig_neutral_or1224,Neutral,embarrassment
p43_orig_neutral_or636,Neutral,embarrassment
p12_orig_neutral_or998,Neutral,embarrassment
p12_orig_neutral_or991,Neutral,embarrassment
p15_orig_neutral_or1047,Neutral,embarrassment
p08_orig_neutral_or1435,Neutral,embarrassment
p26_orig_neutral_or39,Neutral,embarrassment
p48_orig_neutral_or127,Neutral,embarrassment
p40_orig_neutral_or565,Neutral,embarrassment
p37_orig_neutral_or643,Neutral,embarrassment
p05_orig_neutral_or1379,Neutral,neutral
p44_orig_neutral_or495,Neutral,neutral
p47_orig_neutral_or526,Neutral,neutral
p09_orig_neutral_or1457,Neutral,neutral
p49_orig_neutral_or419,Neutral,neutral
p01_orig_neutral_or940,Neutral,neutral
p25_orig_neutral_or674,Neutral,neutral
p14_orig_neutral_or1022,Neutral,neutral
p32_orig_neutral_or918,Neutral,neutral
p03_orig_neutral_or1234,Neutral,neutral
p13_orig_neutral_or1007,Neutral,neutral
p31_orig_neutral_or192,Neutral,neutral
p26_orig_neutral_or136,Neutral,neutral
p05_orig_neutral_or1370,Neutral,neutral
p43_orig_neutral_or195,Neutral,neutral
p43_orig_neutral_or45,Neutral,neutral
p19_orig_neutral_or1115,Neutral,neutral
p35_orig_neutral_or1337,Neutral,neutral
p19_orig_neutral_or1112,Neutral,neutral
p01_orig_neutral_or935,Neutral,neutral
p25_orig_neutral_or601,Neutral,neutral
p39_orig_neutral_or137,Neutral,neutral
p26_orig_neutral_or848,Neutral,neutral
p30_orig_neutral_or1251,Neutral,neutral
p43_orig_neutral_or2,Neutral,neutral
p36_orig_neutral_or471,Neutral,neutral
p41_orig_neutral_or864,Neutral,neutral
p09_orig_neutral_or1462,Neutral,neutral
p18_orig_neutral_or1099,Neutral,neutral
p33_orig_neutral_or1286,Neutral,neutral
p08_orig_neutral_or1431,Neutral,neutral
p02_orig_neutral_or1142,Neutral,neutral
p33_orig_neutral_or1281,Neutral,neutral
p24_orig_neutral_or1209,Neutral,neutral
p20_orig_neutral_or1157,Neutral,neutral
p41_orig_neutral_or193,Neutral,neutral
p20_orig_neutral_or1,Neutral,neutral
p37_orig_neutral_or190,Neutral,neutral
p25_orig_neutral_or154,Neutral,neutral
p23_orig_neutral_or1196,Neutral,neutral
p39_orig_neutral_or418,Neutral,neutral
p22_orig_neutral_or1179,Neutral,neutral
p38_orig_neutral_or10,Neutral,neutral
p36_orig_neutral_or829,Neutral,neutral
p42_orig_neutral_or143,Neutral,neutral
p34_orig_neutral_or1316,Neutral,neutral
